,Job_Title,Queried_Salary,Job_Type,Skill,No_of_Skills
5042,Sr. Data Engineer,120000-139999,data_engineer,"['Business Intelligence', 'OBIEE', 'Hadoop', 'Oracle', 'Microsoft Office', 'SQL', 'Big Data', 'Data Warehouse', 'NoSQL', 'REST']",10
5043,Data Engineer,120000-139999,data_engineer,"['Machine Learning', 'Scala', 'Kafka', 'DynamoDB', 'SAS', 'Java', 'S3', 'Cassandra', 'MongoDB', 'Spark', 'NoSQL', 'Elasticsearch', 'AWS']",13
5044,Cloud Data Engineer,120000-139999,data_engineer,"['Machine Learning', 'DynamoDB', 'Google Cloud Platform', 'Azure', 'SQLite', 'HBase', 'SQL', 'Big Data', 'Cassandra', 'MongoDB', 'Software Development', 'NoSQL', 'PostgreSQL', 'AWS']",14
5045,Data Engineer - Liquid Studios Boston,120000-139999,data_engineer,"['Chef', 'Machine Learning', 'Hadoop', 'Azure', 'Google Cloud Platform', 'Kafka', 'Scala', 'SQL', 'Big Data', 'S3', 'Spark', 'NoSQL', 'Python', 'Jenkins', 'AWS']",15
5046,Azure Big Data Engineer,120000-139999,data_engineer,"['Spark', 'Design Experience', 'Hadoop', 'NoSQL', 'Azure', 'Scala', 'Python', 'SQL']",8
5047,Data Engineer,120000-139999,data_engineer,"['Certified Scrum Master', 'Hive', 'Hadoop', 'Kafka', 'SQL', 'Java', 'S3', 'Spark', 'Telecommunication', 'AWS']",10
5048,Data Engineer,120000-139999,data_engineer,"['Microsoft SQL Server', 'PowerShell', 'Scripting', 'SAP', 'Oracle', 'Tableau', 'S3', 'MySQL', 'Data Warehouse', 'QlikView', 'Informatica', 'PostgreSQL', 'Shell Scripting', 'WebSphere', 'Python', 'AWS']",16
5049,Senior Big Data Engineer,120000-139999,data_engineer,"['Spring', 'Hive', 'Hadoop', 'Scala', 'R', 'DynamoDB', 'Kafka', 'Oracle', 'HBase', 'Big Data', 'Java', 'Cassandra', 'MongoDB', 'Spark', 'CI', 'Design Experience', 'NoSQL', 'PCI', 'Python', 'Elasticsearch']",20
5050,Data Engineer,120000-139999,data_engineer,"['XML', 'DynamoDB', 'SQL', 'JSON', 'S3', 'Data Warehouse', 'Software Development', 'REST', 'PostgreSQL', 'Python', 'AWS']",11
5051,Data Engineer - Spark,120000-139999,data_engineer,"['Linux', 'Scala', 'DynamoDB', 'Oracle', 'Cloud Computing', 'SQL', 'Java', 'S3', 'MySQL', 'Cassandra', 'Spark', 'PostgreSQL', 'Shell Scripting', 'AWS']",14
5052,"Sr. Data Engineer - Atlanta, GA",120000-139999,data_engineer,"['Hive', 'Microsoft SQL Server', 'SDLC', 'Oracle', 'HBase', 'Java', 'MySQL', 'MongoDB', 'Spark', 'Data Warehouse', 'Git', 'NoSQL', 'Unit Testing', 'Python']",14
5053,Data Engineer,120000-139999,data_engineer,"['Ruby', 'SQL', 'Splunk', 'S3', 'Data Warehouse', 'Python', 'Elasticsearch', 'AWS']",8
5054,Azure Big Data Engineer,120000-139999,data_engineer,"['Spark', 'Design Experience', 'Hadoop', 'NoSQL', 'Azure', 'Scala', 'Python', 'SQL']",8
5055,Data Engineer,120000-139999,data_engineer,"['Pig', 'Hive', 'Hadoop', 'R', 'Oracle', 'SQL', 'HBase', 'Teradata', 'Big Data', 'S3', 'Spark', 'Data Warehouse', 'MATLAB', 'Python', 'AWS']",15
5056,Data Engineer,120000-139999,data_engineer,"['TensorFlow', 'Hive', 'Machine Learning', 'XML', 'DynamoDB', 'Google Cloud Platform', 'JSON', 'Big Data', 'MySQL', 'PostgreSQL', 'SOAP', 'Mesos', 'Hadoop', 'Kafka', 'Scala', 'Java', 'Cassandra', 'Spark', 'Data Warehouse', 'Unit Testing']",20
5057,ML / NLP / Large Data Engineer,120000-139999,data_engineer,"['TensorFlow', 'Linux', 'Node.js', 'Natural Language Processing', 'Docker', 'Python', 'AWS']",7
5058,Data Engineer,120000-139999,data_engineer,"['Java', 'Linux', 'Spark', 'Scripting', 'Scala', 'CI/CD', 'Python', 'Military Experience', 'AWS']",9
5059,Data & Analytics- Data Engineer,120000-139999,data_engineer,"['Hadoop', 'Azure', 'Google Cloud Platform', 'SQL', 'Spark', 'NoSQL', 'Python', 'AWS']",8
5060,Data Engineer,120000-139999,data_engineer,"['Hadoop', 'Kafka', 'Scala', 'Java', 'S3', 'Spark', 'Git', 'Python', 'Jira', 'AWS']",10
5061,Data Engineer,120000-139999,data_engineer,"['JavaScript', 'Machine Learning', 'Hadoop', 'R', 'C/C++', 'Natural Language Processing', 'MongoDB', 'Spark', 'NoSQL', 'REST', 'Python']",11
5062,Data Engineer,120000-139999,data_engineer,"['Linux', 'Kafka', 'SQL', 'Big Data', 'Java', '.Net', 'S3', 'MySQL', 'MongoDB', 'Spark', 'C#', 'Data Warehouse', 'NoSQL', 'PostgreSQL', 'Python', 'Elasticsearch', 'AWS']",17
5063,Data Engineer - MSP,120000-139999,data_engineer,"['Pig', 'TensorFlow', 'Hive', 'R', 'SQL', 'S3', 'Load Balancing', 'Jenkins', 'Hadoop', 'Scala', 'Kafka', 'Java', 'Spark', 'Git', 'Shell Scripting', 'Python', 'AWS']",17
5064,AWS Big Data Engineer,120000-139999,data_engineer,"['Hadoop', 'DynamoDB', 'Scala', 'Java', 'Spark', 'Design Experience', 'Informatica', 'NoSQL', 'Python', 'AWS']",10
5065,Data Engineer,120000-139999,data_engineer,"['Hive', 'Test Automation', 'Machine Learning', 'SQL', 'Big Data', 'S3', 'Confluence', 'Hadoop', 'Tableau', 'Spark', 'Data Warehouse', 'REST', 'Python', 'AWS']",14
5066,Big Data Engineer,120000-139999,data_engineer,"['Pig', 'Hive', 'Hadoop', 'Azure', 'Google Cloud Platform', 'Java', 'Big Data', 'Data Warehouse', 'Software Development', 'AWS']",10
5067,Big Data Engineer,120000-139999,data_engineer,"['Java', 'Spark', 'REST', 'Hadoop', 'Kafka', 'Python', 'Elasticsearch']",7
5068,Data Engineer,120000-139999,data_engineer,"['Natural Language Processing', 'Spark', 'NoSQL', 'Kafka', 'Python', 'AWS']",6
5069,Data Engineer,120000-139999,data_engineer,"['S3', 'Spark', 'Machine Learning', 'Design Experience', 'NoSQL', 'Python', 'SQL', 'AWS']",8
5070,Master Data Engineer,120000-139999,data_engineer,"['S3', 'Spark', 'Python', 'Military Experience', 'AWS']",5
5071,DW Big Data Engineer,120000-139999,data_engineer,"['Pig', 'Hive', 'Hadoop', 'Service-Oriented Architecture', 'HBase', 'SQL', 'Big Data', 'Java', 'Spark', 'REST', 'Python']",11
5072,"Data Engineer â€“ Data Warehouse, Analytics & BI",120000-139999,data_engineer,"['Pentaho', 'R', 'Azure', 'SQL', 'Java', 'PL/SQL', 'Data Warehouse', 'Python']",8
5073,Sr. Data Engineer,120000-139999,data_engineer,"['Hive', 'Machine Learning', 'Project Management', 'R', 'C/C++', 'SQL', 'Big Data', 'PostgreSQL', 'Scripting', 'Hadoop', 'Scala', 'Kafka', 'Java', 'Predictive Analytics', 'Cassandra', 'Spark', 'Data Warehouse', 'NoSQL', 'Python', 'AWS']",20
5074,Azure Big Data Engineer,120000-139999,data_engineer,"['Spark', 'Design Experience', 'Hadoop', 'NoSQL', 'Azure', 'Scala', 'Python', 'SQL']",8
5075,Sr. Data Engineer,120000-139999,data_engineer,"['Microsoft SQL Server', 'Data Warehouse', 'SQL']",3
5076,Data Engineer,120000-139999,data_engineer,"['Hive', 'Ruby', 'Hadoop', 'Scripting', 'Perl', 'Google Cloud Platform', 'Azure', 'Oracle', 'SQL', 'Big Data', 'PL/SQL', 'MySQL', 'Alteryx', 'Data Warehouse', 'Informatica', 'Python', 'AWS']",17
5077,Sr. Data Engineer,120000-139999,data_engineer,"['Microsoft SQL Server', 'SDLC', 'Oracle', 'Java', 'MySQL', 'Unit Testing']",6
5078,Senior Data Engineer,120000-139999,data_engineer,"['Technical Writing', 'Scripting', 'SQL', 'Excel', 'Tableau', 'Java', 'Big Data', 'Confluence', 'MySQL', 'Python', 'Jira']",11
5079,"Application Data Engineer, Business Intelligence, Google Clo...",120000-139999,data_engineer,"['Business Intelligence', 'Machine Learning', 'Scripting', 'Google Cloud Platform', 'SQL', 'Big Data', 'Python']",7
5080,AWS Big Data Engineer,120000-139999,data_engineer,"['Linux', 'Hive', 'Hadoop', 'Splunk', 'Java', 'S3', 'Spark', 'CI', 'Shell Scripting', 'Python', 'Jenkins', 'AWS']",12
